instancia,seed,job_id,nodo,valor_objetivo,tiempo_ejecucion,exito
erdos_n1000_p0c0.1_10,42,3961049,luthier20,,10,SI
erdos_n1000_p0c0.1_11,42,3961050,luthier20,,10,SI
erdos_n1000_p0c0.1_12,42,3961051,luthier20,,10,SI
erdos_n1000_p0c0.1_13,42,3961052,luthier21,,10,SI
erdos_n1000_p0c0.1_14,42,3961053,luthier21,,10,SI
erdos_n1000_p0c0.1_15,42,3961054,luthier21,,10,SI
erdos_n1000_p0c0.1_16,42,3961055,luthier22,,10,SI
erdos_n1000_p0c0.1_17,42,3961056,luthier22,,10,SI
erdos_n1000_p0c0.1_18,42,3961057,luthier22,,10,SI
erdos_n1000_p0c0.1_19,42,3961058,luthier23,,10,SI
erdos_n1000_p0c0.1_1,42,3961040,luthier16,,10,SI
erdos_n1000_p0c0.1_20,42,3961059,luthier23,,10,SI
erdos_n1000_p0c0.1_21,42,3961060,luthier23,,10,SI
erdos_n1000_p0c0.1_22,42,3961061,luthier24,,10,SI
erdos_n1000_p0c0.1_23,42,3961062,luthier24,,10,SI
erdos_n1000_p0c0.1_24,42,3961063,luthier24,,10,SI
erdos_n1000_p0c0.1_25,42,3961064,luthier25,,10,SI
erdos_n1000_p0c0.1_26,42,3961065,luthier25,,10,SI
erdos_n1000_p0c0.1_27,42,3961066,luthier25,,10,SI
erdos_n1000_p0c0.1_28,42,3961067,luthier26,,10,SI
erdos_n1000_p0c0.1_29,42,3961068,luthier26,,10,SI
erdos_n1000_p0c0.1_2,42,3961041,luthier16,,10,SI
erdos_n1000_p0c0.1_30,42,3961069,luthier26,,10,SI
erdos_n1000_p0c0.1_3,42,3961042,luthier16,,10,SI
erdos_n1000_p0c0.1_4,42,3961043,luthier17,,10,SI
erdos_n1000_p0c0.1_5,42,3961044,luthier17,,10,SI
erdos_n1000_p0c0.1_6,42,3961045,luthier17,,10,SI
erdos_n1000_p0c0.1_7,42,3961046,luthier18,,10,SI
erdos_n1000_p0c0.1_8,42,3961047,luthier18,,10,SI
erdos_n1000_p0c0.1_9,42,3961048,luthier18,,10,SI
erdos_n1000_p0c0.2_10,42,3961079,luthier30,,10,SI
erdos_n1000_p0c0.2_11,42,3961080,luthier30,,10,SI
erdos_n1000_p0c0.2_12,42,3961081,luthier30,,10,SI
erdos_n1000_p0c0.2_13,42,3961082,luthier16,,10,SI
erdos_n1000_p0c0.2_14,42,3961083,luthier16,,10,SI
erdos_n1000_p0c0.2_15,42,3961084,luthier16,,10,SI
erdos_n1000_p0c0.2_16,42,3961085,luthier17,,10,SI
erdos_n1000_p0c0.2_17,42,3961086,luthier17,,10,SI
erdos_n1000_p0c0.2_18,42,3961087,luthier17,,10,SI
erdos_n1000_p0c0.2_19,42,3961088,luthier23,,10,SI
erdos_n1000_p0c0.2_1,42,3961070,luthier27,,10,SI
erdos_n1000_p0c0.2_20,42,3961089,luthier23,,10,SI
erdos_n1000_p0c0.2_21,42,3961090,luthier23,,10,SI
erdos_n1000_p0c0.2_22,42,3961091,luthier29,,10,SI
erdos_n1000_p0c0.2_23,42,3961092,luthier29,,10,SI
erdos_n1000_p0c0.2_24,42,3961093,luthier28,,10,SI
erdos_n1000_p0c0.2_25,42,3961094,luthier28,,10,SI
erdos_n1000_p0c0.2_26,42,3961095,luthier28,,10,SI
erdos_n1000_p0c0.2_27,42,3961096,luthier18,,10,SI
erdos_n1000_p0c0.2_28,42,3961097,luthier29,,10,SI
erdos_n1000_p0c0.2_29,42,3961098,luthier20,,10,SI
erdos_n1000_p0c0.2_2,42,3961071,luthier27,,10,SI
erdos_n1000_p0c0.2_30,42,3961099,luthier21,,10,SI
erdos_n1000_p0c0.2_3,42,3961072,luthier27,,10,SI
erdos_n1000_p0c0.2_4,42,3961073,luthier28,,10,SI
erdos_n1000_p0c0.2_5,42,3961074,luthier28,,10,SI
erdos_n1000_p0c0.2_6,42,3961075,luthier28,,10,SI
erdos_n1000_p0c0.2_7,42,3961076,luthier29,,10,SI
erdos_n1000_p0c0.2_8,42,3961077,luthier29,,10,SI
erdos_n1000_p0c0.2_9,42,3961078,luthier29,,10,SI
erdos_n1000_p0c0.3_10,42,3961109,luthier30,,10,SI
erdos_n1000_p0c0.3_11,42,3961110,luthier30,,10,SI
erdos_n1000_p0c0.3_12,42,3961111,luthier30,,10,SI
erdos_n1000_p0c0.3_13,42,3961112,luthier26,,10,SI
erdos_n1000_p0c0.3_14,42,3961113,luthier26,,10,SI
erdos_n1000_p0c0.3_15,42,3961114,luthier24,,10,SI
erdos_n1000_p0c0.3_16,42,3961115,luthier26,,10,SI
erdos_n1000_p0c0.3_17,42,3961116,luthier25,,10,SI
erdos_n1000_p0c0.3_18,42,3961117,luthier27,,10,SI
erdos_n1000_p0c0.3_19,42,3961118,luthier27,,10,SI
erdos_n1000_p0c0.3_1,42,3961100,luthier20,,10,SI
erdos_n1000_p0c0.3_20,42,3961119,luthier27,,10,SI
erdos_n1000_p0c0.3_21,42,3961120,luthier22,,10,SI
erdos_n1000_p0c0.3_22,42,3961121,luthier22,,10,SI
erdos_n1000_p0c0.3_23,42,3961122,luthier24,,10,SI
erdos_n1000_p0c0.3_24,42,3961123,luthier24,,10,SI
erdos_n1000_p0c0.3_25,42,3961124,luthier16,,10,SI
erdos_n1000_p0c0.3_26,42,3961125,luthier16,,10,SI
erdos_n1000_p0c0.3_27,42,3961126,luthier16,,10,SI
erdos_n1000_p0c0.3_28,42,3961127,luthier17,,10,SI
erdos_n1000_p0c0.3_29,42,3961128,luthier17,,10,SI
erdos_n1000_p0c0.3_2,42,3961101,luthier20,,10,SI
erdos_n1000_p0c0.3_30,42,3961129,luthier17,,10,SI
erdos_n1000_p0c0.3_3,42,3961102,luthier21,,10,SI
erdos_n1000_p0c0.3_4,42,3961103,luthier21,,10,SI
erdos_n1000_p0c0.3_5,42,3961104,luthier18,,10,SI
erdos_n1000_p0c0.3_6,42,3961105,luthier25,,10,SI
erdos_n1000_p0c0.3_7,42,3961106,luthier25,,10,SI
erdos_n1000_p0c0.3_8,42,3961107,luthier18,,10,SI
erdos_n1000_p0c0.3_9,42,3961108,luthier22,,10,SI
erdos_n1000_p0c0.4_10,42,3961139,luthier29,,10,SI
erdos_n1000_p0c0.4_11,42,3961140,luthier21,,10,SI
erdos_n1000_p0c0.4_12,42,3961141,luthier20,,10,SI
erdos_n1000_p0c0.4_13,42,3961142,luthier20,,10,SI
erdos_n1000_p0c0.4_14,42,3961143,luthier20,,10,SI
erdos_n1000_p0c0.4_15,42,3961144,luthier21,,10,SI
erdos_n1000_p0c0.4_16,42,3961145,luthier21,,10,SI
erdos_n1000_p0c0.4_17,42,3961146,luthier18,,10,SI
erdos_n1000_p0c0.4_18,42,3961147,luthier25,,10,SI
erdos_n1000_p0c0.4_19,42,3961148,luthier25,,10,SI
erdos_n1000_p0c0.4_1,42,3961130,luthier23,,10,SI
erdos_n1000_p0c0.4_20,42,3961149,luthier18,,10,SI
erdos_n1000_p0c0.4_21,42,3961150,luthier22,,10,SI
erdos_n1000_p0c0.4_22,42,3961151,luthier30,,10,SI
erdos_n1000_p0c0.4_23,42,3961152,luthier30,,10,SI
erdos_n1000_p0c0.4_24,42,3961153,luthier30,,10,SI
erdos_n1000_p0c0.4_25,42,3961154,luthier26,,10,SI
erdos_n1000_p0c0.4_26,42,3961155,luthier26,,10,SI
erdos_n1000_p0c0.4_27,42,3961156,luthier26,,10,SI
erdos_n1000_p0c0.4_28,42,3961157,luthier24,,10,SI
erdos_n1000_p0c0.4_29,42,3961158,luthier25,,10,SI
erdos_n1000_p0c0.4_2,42,3961131,luthier23,,10,SI
erdos_n1000_p0c0.4_30,42,3961159,luthier27,,10,SI
erdos_n1000_p0c0.4_3,42,3961132,luthier23,,10,SI
erdos_n1000_p0c0.4_4,42,3961133,luthier29,,10,SI
erdos_n1000_p0c0.4_5,42,3961134,luthier28,,10,SI
erdos_n1000_p0c0.4_6,42,3961135,luthier18,,10,SI
erdos_n1000_p0c0.4_7,42,3961136,luthier28,,10,SI
erdos_n1000_p0c0.4_8,42,3961137,luthier29,,10,SI
erdos_n1000_p0c0.4_9,42,3961138,luthier28,,10,SI
erdos_n1000_p0c0.5_10,42,3961169,luthier17,,10,SI
erdos_n1000_p0c0.5_11,42,3961170,luthier17,,10,SI
erdos_n1000_p0c0.5_12,42,3961171,luthier17,,10,SI
erdos_n1000_p0c0.5_13,42,3961172,luthier23,,10,SI
erdos_n1000_p0c0.5_14,42,3961173,luthier23,,10,SI
erdos_n1000_p0c0.5_15,42,3961174,luthier23,,10,SI
erdos_n1000_p0c0.5_16,42,3961175,luthier28,,10,SI
erdos_n1000_p0c0.5_17,42,3961176,luthier28,,10,SI
erdos_n1000_p0c0.5_18,42,3961177,luthier18,,10,SI
erdos_n1000_p0c0.5_19,42,3961178,luthier28,,10,SI
erdos_n1000_p0c0.5_1,42,3961160,luthier27,,10,SI
erdos_n1000_p0c0.5_20,42,3961179,luthier29,,10,SI
erdos_n1000_p0c0.5_21,42,3961180,luthier29,,10,SI
erdos_n1000_p0c0.5_22,42,3961181,luthier29,,10,SI
erdos_n1000_p0c0.5_23,42,3961182,luthier20,,10,SI
erdos_n1000_p0c0.5_24,42,3961183,luthier20,,10,SI
erdos_n1000_p0c0.5_25,42,3961184,luthier20,,10,SI
erdos_n1000_p0c0.5_26,42,3961185,luthier21,,10,SI
erdos_n1000_p0c0.5_27,42,3961186,luthier21,,10,SI
erdos_n1000_p0c0.5_28,42,3961187,luthier21,,10,SI
erdos_n1000_p0c0.5_29,42,3961188,luthier18,,10,SI
erdos_n1000_p0c0.5_2,42,3961161,luthier27,,10,SI
erdos_n1000_p0c0.5_30,42,3961189,luthier25,,10,SI
erdos_n1000_p0c0.5_3,42,3961162,luthier22,,10,SI
erdos_n1000_p0c0.5_4,42,3961163,luthier22,,10,SI
erdos_n1000_p0c0.5_5,42,3961164,luthier24,,10,SI
erdos_n1000_p0c0.5_6,42,3961165,luthier24,,10,SI
erdos_n1000_p0c0.5_7,42,3961166,luthier16,,10,SI
erdos_n1000_p0c0.5_8,42,3961167,luthier16,,10,SI
erdos_n1000_p0c0.5_9,42,3961168,luthier16,,10,SI
erdos_n1000_p0c0.6_10,42,3961199,luthier26,,10,SI
erdos_n1000_p0c0.6_11,42,3961200,luthier27,,10,SI
erdos_n1000_p0c0.6_12,42,3961201,luthier25,,10,SI
erdos_n1000_p0c0.6_13,42,3961202,luthier27,,10,SI
erdos_n1000_p0c0.6_14,42,3961203,luthier27,,10,SI
erdos_n1000_p0c0.6_15,42,3961204,luthier22,,10,SI
erdos_n1000_p0c0.6_16,42,3961205,luthier22,,10,SI
erdos_n1000_p0c0.6_17,42,3961206,luthier24,,10,SI
erdos_n1000_p0c0.6_18,42,3961207,luthier24,,10,SI
erdos_n1000_p0c0.6_19,42,3961208,luthier16,,10,SI
erdos_n1000_p0c0.6_1,42,3961190,luthier25,,10,SI
erdos_n1000_p0c0.6_20,42,3961209,luthier16,,10,SI
erdos_n1000_p0c0.6_21,42,3961210,luthier16,,10,SI
erdos_n1000_p0c0.6_22,42,3961211,luthier17,,10,SI
erdos_n1000_p0c0.6_23,42,3961212,luthier17,,10,SI
erdos_n1000_p0c0.6_24,42,3961213,luthier17,,10,SI
erdos_n1000_p0c0.6_25,42,3961214,luthier23,,10,SI
erdos_n1000_p0c0.6_26,42,3961215,luthier23,,10,SI
erdos_n1000_p0c0.6_27,42,3961216,luthier28,,10,SI
erdos_n1000_p0c0.6_28,42,3961217,luthier23,,10,SI
erdos_n1000_p0c0.6_29,42,3961218,luthier18,,10,SI
erdos_n1000_p0c0.6_2,42,3961191,luthier18,,10,SI
erdos_n1000_p0c0.6_30,42,3961219,luthier28,,10,SI
erdos_n1000_p0c0.6_3,42,3961192,luthier22,,10,SI
erdos_n1000_p0c0.6_4,42,3961193,luthier30,,10,SI
erdos_n1000_p0c0.6_5,42,3961194,luthier30,,10,SI
erdos_n1000_p0c0.6_6,42,3961195,luthier30,,10,SI
erdos_n1000_p0c0.6_7,42,3961196,luthier26,,10,SI
erdos_n1000_p0c0.6_8,42,3961197,luthier26,,10,SI
erdos_n1000_p0c0.6_9,42,3961198,luthier24,,10,SI
erdos_n1000_p0c0.7_10,42,3961229,luthier21,,10,SI
erdos_n1000_p0c0.7_11,42,3961230,luthier18,,10,SI
erdos_n1000_p0c0.7_12,42,3961231,luthier25,,10,SI
erdos_n1000_p0c0.7_13,42,3961232,luthier25,,10,SI
erdos_n1000_p0c0.7_14,42,3961233,luthier18,,10,SI
erdos_n1000_p0c0.7_15,42,3961234,luthier30,,10,SI
erdos_n1000_p0c0.7_16,42,3961235,luthier22,,10,SI
erdos_n1000_p0c0.7_17,42,3961236,luthier30,,10,SI
erdos_n1000_p0c0.7_18,42,3961237,luthier30,,10,SI
erdos_n1000_p0c0.7_19,42,3961238,luthier26,,10,SI
erdos_n1000_p0c0.7_1,42,3961220,luthier29,,10,SI
erdos_n1000_p0c0.7_20,42,3961239,luthier26,,10,SI
erdos_n1000_p0c0.7_21,42,3961240,luthier24,,10,SI
erdos_n1000_p0c0.7_22,42,3961241,luthier26,,10,SI
erdos_n1000_p0c0.7_23,42,3961242,luthier25,,10,SI
erdos_n1000_p0c0.7_24,42,3961243,luthier27,,10,SI
erdos_n1000_p0c0.7_25,42,3961244,luthier27,,10,SI
erdos_n1000_p0c0.7_26,42,3961245,luthier22,,10,SI
erdos_n1000_p0c0.7_27,42,3961246,luthier27,,10,SI
erdos_n1000_p0c0.7_28,42,3961247,luthier22,,10,SI
erdos_n1000_p0c0.7_29,42,3961248,luthier24,,10,SI
erdos_n1000_p0c0.7_2,42,3961221,luthier28,,10,SI
erdos_n1000_p0c0.7_30,42,3961249,luthier24,,10,SI
erdos_n1000_p0c0.7_3,42,3961222,luthier29,,10,SI
erdos_n1000_p0c0.7_4,42,3961223,luthier29,,10,SI
erdos_n1000_p0c0.7_5,42,3961224,luthier20,,10,SI
erdos_n1000_p0c0.7_6,42,3961225,luthier20,,10,SI
erdos_n1000_p0c0.7_7,42,3961226,luthier20,,10,SI
erdos_n1000_p0c0.7_8,42,3961227,luthier21,,10,SI
erdos_n1000_p0c0.7_9,42,3961228,luthier21,,10,SI
erdos_n1000_p0c0.8_10,42,3961259,luthier28,,10,SI
erdos_n1000_p0c0.8_11,42,3961260,luthier18,,10,SI
erdos_n1000_p0c0.8_12,42,3961261,luthier29,,10,SI
erdos_n1000_p0c0.8_13,42,3961262,luthier28,,10,SI
erdos_n1000_p0c0.8_14,42,3961263,luthier28,,10,SI
erdos_n1000_p0c0.8_15,42,3961264,luthier29,,10,SI
erdos_n1000_p0c0.8_16,42,3961265,luthier29,,10,SI
erdos_n1000_p0c0.8_17,42,3961266,luthier21,,10,SI
erdos_n1000_p0c0.8_18,42,3961267,luthier20,,10,SI
erdos_n1000_p0c0.8_19,42,3961268,luthier20,,10,SI
erdos_n1000_p0c0.8_1,42,3961250,luthier16,,10,SI
erdos_n1000_p0c0.8_20,42,3961269,luthier21,,10,SI
erdos_n1000_p0c0.8_21,42,3961270,luthier18,,10,SI
erdos_n1000_p0c0.8_22,42,3961271,luthier21,,10,SI
erdos_n1000_p0c0.8_23,42,3961272,luthier20,,10,SI
erdos_n1000_p0c0.8_24,42,3961273,luthier25,,10,SI
erdos_n1000_p0c0.8_25,42,3961274,luthier25,,10,SI
erdos_n1000_p0c0.8_26,42,3961275,luthier18,,10,SI
erdos_n1000_p0c0.8_27,42,3961276,luthier30,,10,SI
erdos_n1000_p0c0.8_28,42,3961277,luthier22,,10,SI
erdos_n1000_p0c0.8_29,42,3961278,luthier30,,10,SI
erdos_n1000_p0c0.8_2,42,3961251,luthier16,,10,SI
erdos_n1000_p0c0.8_30,42,3961279,luthier26,,10,SI
erdos_n1000_p0c0.8_3,42,3961252,luthier16,,10,SI
erdos_n1000_p0c0.8_4,42,3961253,luthier17,,10,SI
erdos_n1000_p0c0.8_5,42,3961254,luthier17,,10,SI
erdos_n1000_p0c0.8_6,42,3961255,luthier17,,10,SI
erdos_n1000_p0c0.8_7,42,3961256,luthier23,,10,SI
erdos_n1000_p0c0.8_8,42,3961257,luthier23,,10,SI
erdos_n1000_p0c0.8_9,42,3961258,luthier23,,10,SI
erdos_n1000_p0c0.9_10,42,3961289,luthier27,,10,SI
erdos_n1000_p0c0.9_11,42,3961290,luthier24,,10,SI
erdos_n1000_p0c0.9_12,42,3961291,luthier24,,10,SI
erdos_n1000_p0c0.9_13,42,3961292,luthier16,,10,SI
erdos_n1000_p0c0.9_14,42,3961293,luthier16,,10,SI
erdos_n1000_p0c0.9_15,42,3961294,luthier17,,10,SI
erdos_n1000_p0c0.9_16,42,3961295,luthier16,,10,SI
erdos_n1000_p0c0.9_17,42,3961296,luthier17,,10,SI
erdos_n1000_p0c0.9_18,42,3961297,luthier17,,10,SI
erdos_n1000_p0c0.9_19,42,3961298,luthier23,,10,SI
erdos_n1000_p0c0.9_1,42,3961280,luthier26,,10,SI
erdos_n1000_p0c0.9_20,42,3961299,luthier23,,10,SI
erdos_n1000_p0c0.9_21,42,3961300,luthier23,,10,SI
erdos_n1000_p0c0.9_22,42,3961301,luthier29,,10,SI
erdos_n1000_p0c0.9_23,42,3961302,luthier28,,10,SI
erdos_n1000_p0c0.9_24,42,3961303,luthier29,,10,SI
erdos_n1000_p0c0.9_25,42,3961304,luthier29,,10,SI
erdos_n1000_p0c0.9_26,42,3961305,luthier18,,10,SI
erdos_n1000_p0c0.9_27,42,3961306,luthier28,,10,SI
erdos_n1000_p0c0.9_28,42,3961307,luthier28,,10,SI
erdos_n1000_p0c0.9_29,42,3961308,luthier20,,10,SI
erdos_n1000_p0c0.9_2,42,3961281,luthier24,,10,SI
erdos_n1000_p0c0.9_30,42,3961309,luthier18,,10,SI
erdos_n1000_p0c0.9_3,42,3961282,luthier30,,10,SI
erdos_n1000_p0c0.9_4,42,3961283,luthier26,,10,SI
erdos_n1000_p0c0.9_5,42,3961284,luthier27,,10,SI
erdos_n1000_p0c0.9_6,42,3961285,luthier27,,10,SI
erdos_n1000_p0c0.9_7,42,3961286,luthier22,,10,SI
erdos_n1000_p0c0.9_8,42,3961287,luthier25,,10,SI
